case_id,condition,mode,snr_db,noise_seed,n_records,final_input_sha256,expected_input_sha256,final_hash_verified,clean_array_sha256,noise_file_sha256,old_q_noise_mismatch_max_abs_error,old_q_input_mismatch_max_abs_error,old_total_snr_mismatch_max_abs_error,identity_mismatch_max_abs_error
S_04__snr_5__noise_101,S_04,S_04,5,101,2158,1610c4ab26f0f163c30ecca0d33f3bf35c8cf37ff7e3328ed27a5165a8960607,1610c4ab26f0f163c30ecca0d33f3bf35c8cf37ff7e3328ed27a5165a8960607,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,d7065fd6d9b574ff1fec470e4734308578ce987948669f991f871ee621951480,5.551115123125783e-17,9.71445146547012e-17,1.7763568394002505e-15,1.0480505352461478e-13
E__snr_5__noise_202,E,,5,202,2158,6c3f29be5575354876cd0d27a39ced457ab439a24964f15c6afe323c5cda1cd5,6c3f29be5575354876cd0d27a39ced457ab439a24964f15c6afe323c5cda1cd5,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,c0e0a644d5ed6e0ac3f36e139ed21dadf40ce52f326bf6cab35e525ebe8f405e,3.944304526105059e-31,8.470329472543003e-22,1.7763568394002505e-15,4.707345624410664e-14
I__snr_5__noise_202,I,,5,202,2158,0360ee49bce1989641f1db50607d38189be93cd3e3f0c15d2967aeceb8879683,0360ee49bce1989641f1db50607d38189be93cd3e3f0c15d2967aeceb8879683,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,7189a8040f2fd3304c697405a4a4a92884c3f4242e1c818593ac2f2362847bd8,5.551115123125783e-17,9.71445146547012e-17,1.7763568394002505e-15,7.460698725481052e-14
S_00__snr_5__noise_202,S_00,S_00,5,202,2158,300a38d999658a54359a89a95def721048f44ce9a071c41982a765edaf761244,300a38d999658a54359a89a95def721048f44ce9a071c41982a765edaf761244,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,c0e0a644d5ed6e0ac3f36e139ed21dadf40ce52f326bf6cab35e525ebe8f405e,5.551115123125783e-17,9.71445146547012e-17,1.7763568394002505e-15,1.0125233984581428e-13
S_01__snr_5__noise_202,S_01,S_01,5,202,2158,509d4e518a0012a3599f0a8cbd666ee1194f5301d8354d17322bac2e678bf9b4,509d4e518a0012a3599f0a8cbd666ee1194f5301d8354d17322bac2e678bf9b4,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,c0e0a644d5ed6e0ac3f36e139ed21dadf40ce52f326bf6cab35e525ebe8f405e,5.551115123125783e-17,9.71445146547012e-17,1.7763568394002505e-15,7.460698725481052e-14
S_02__snr_5__noise_202,S_02,S_02,5,202,2158,1f9b02f54ce7e10b5a3c237f148e53cb639ec168b934291cf5ce5cad7d3e210d,1f9b02f54ce7e10b5a3c237f148e53cb639ec168b934291cf5ce5cad7d3e210d,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,c0e0a644d5ed6e0ac3f36e139ed21dadf40ce52f326bf6cab35e525ebe8f405e,8.326672684688674e-17,9.71445146547012e-17,2.6645352591003757e-15,5.861977570020827e-14
S_03__snr_5__noise_202,S_03,S_03,5,202,2158,2066be0efc36ca9d5023e88c16b1e893fa6599620639669726b26958563314bb,2066be0efc36ca9d5023e88c16b1e893fa6599620639669726b26958563314bb,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,c0e0a644d5ed6e0ac3f36e139ed21dadf40ce52f326bf6cab35e525ebe8f405e,0.0,8.326672684688674e-17,1.7763568394002505e-15,1.1901590823981678e-13
S_04__snr_5__noise_202,S_04,S_04,5,202,2158,815d5b1636c51116dcf6a59e9dfe03a32ebe86fdde6e875d419f492985a353c8,815d5b1636c51116dcf6a59e9dfe03a32ebe86fdde6e875d419f492985a353c8,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,c0e0a644d5ed6e0ac3f36e139ed21dadf40ce52f326bf6cab35e525ebe8f405e,5.551115123125783e-17,9.71445146547012e-17,1.7763568394002505e-15,1.1013412404281553e-13
E__snr_5__noise_303,E,,5,303,2158,11085aab3b59af30ed304293a4d6b71096b369fe6a48bc66e37a8d7f0b8ef749,11085aab3b59af30ed304293a4d6b71096b369fe6a48bc66e37a8d7f0b8ef749,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,b9f652b0118957b55f6801102beef515f20bdd36044b5608f8353483a8858c02,3.944304526105059e-31,8.470329472543003e-22,1.7763568394002505e-15,4.529709940470639e-14
I__snr_5__noise_303,I,,5,303,2158,c20aab6721faa0e8591c24d76190edbb47049c50f9ed46c7a86ae50545ff5794,c20aab6721faa0e8591c24d76190edbb47049c50f9ed46c7a86ae50545ff5794,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,e13c17f81e300bd44ea3c63a5dea9cc0f85a750d1d62f947459756db48ed5527,5.551115123125783e-17,9.71445146547012e-17,2.6645352591003757e-15,7.460698725481052e-14
S_00__snr_5__noise_303,S_00,S_00,5,303,2158,e147144e3e36f1d2fe4bed6ecd3453f2e12e6d773039628d91467954594c7f71,e147144e3e36f1d2fe4bed6ecd3453f2e12e6d773039628d91467954594c7f71,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,b9f652b0118957b55f6801102beef515f20bdd36044b5608f8353483a8858c02,5.551115123125783e-17,9.71445146547012e-17,1.7763568394002505e-15,1.0391687510491465e-13
S_01__snr_5__noise_303,S_01,S_01,5,303,2158,1f461dbce7e4c31e81a00c82c25f68f351cf5f6dacf7801ac90d55c962967b88,1f461dbce7e4c31e81a00c82c25f68f351cf5f6dacf7801ac90d55c962967b88,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,b9f652b0118957b55f6801102beef515f20bdd36044b5608f8353483a8858c02,5.551115123125783e-17,9.71445146547012e-17,1.7763568394002505e-15,7.37188088351104e-14
S_02__snr_5__noise_303,S_02,S_02,5,303,2158,a3a0c777961f499829583e321fcd72f385f4cf92d7a88475e07ef9404d909853,a3a0c777961f499829583e321fcd72f385f4cf92d7a88475e07ef9404d909853,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,b9f652b0118957b55f6801102beef515f20bdd36044b5608f8353483a8858c02,8.326672684688674e-17,9.71445146547012e-17,1.7763568394002505e-15,5.773159728050814e-14
S_03__snr_5__noise_303,S_03,S_03,5,303,2158,11ba54702b0db9a17f123c30745d415955eff8554a83378886ab561c97276f0c,11ba54702b0db9a17f123c30745d415955eff8554a83378886ab561c97276f0c,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,b9f652b0118957b55f6801102beef515f20bdd36044b5608f8353483a8858c02,0.0,8.326672684688674e-17,1.7763568394002505e-15,1.2434497875801753e-13
S_04__snr_5__noise_303,S_04,S_04,5,303,2158,fb8ae73482281929d71bea99baa1d20671f2893a852f83d4adbc8148363b1f0c,fb8ae73482281929d71bea99baa1d20671f2893a852f83d4adbc8148363b1f0c,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,b9f652b0118957b55f6801102beef515f20bdd36044b5608f8353483a8858c02,5.551115123125783e-17,9.71445146547012e-17,2.6645352591003757e-15,1.0302869668521453e-13
E__snr_5__noise_404,E,,5,404,2158,b87c690599f9e43fd18ff01ff673d41836632423c4e2b1a4f7594389236e9e02,b87c690599f9e43fd18ff01ff673d41836632423c4e2b1a4f7594389236e9e02,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,3ecb1fa9eec25d23e26ba589e96d8c7e17183719e988befdac59c63d8117066c,3.944304526105059e-31,8.470329472543003e-22,2.6645352591003757e-15,4.085620730620576e-14
I__snr_5__noise_404,I,,5,404,2158,39d832fbf0ea92025813b71fe99c3a23638662e68df3c98584f1e9933048a487,39d832fbf0ea92025813b71fe99c3a23638662e68df3c98584f1e9933048a487,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,e82ba1f043d26993e5a48c31e1b3e22b191ea5c1b9a5a16adca120ac5c276797,5.551115123125783e-17,9.71445146547012e-17,1.7763568394002505e-15,6.750155989720952e-14
S_00__snr_5__noise_404,S_00,S_00,5,404,2158,78a0e2024de79f2beb09d640b89f830d106d9956efbd4da8ed41f768e4d13595,78a0e2024de79f2beb09d640b89f830d106d9956efbd4da8ed41f768e4d13595,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,3ecb1fa9eec25d23e26ba589e96d8c7e17183719e988befdac59c63d8117066c,5.551115123125783e-17,9.71445146547012e-17,1.7763568394002505e-15,9.769962616701378e-14
S_01__snr_5__noise_404,S_01,S_01,5,404,2158,0f955d1c29033c13bab02979d821278e726d5ed1824e71c3fc721227ab2cde9c,0f955d1c29033c13bab02979d821278e726d5ed1824e71c3fc721227ab2cde9c,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,3ecb1fa9eec25d23e26ba589e96d8c7e17183719e988befdac59c63d8117066c,5.551115123125783e-17,9.71445146547012e-17,1.7763568394002505e-15,7.993605777301127e-14
S_02__snr_5__noise_404,S_02,S_02,5,404,2158,c9d6e1825384c46170a23b413439af7007cda46306d9ab8f56864ec287a75338,c9d6e1825384c46170a23b413439af7007cda46306d9ab8f56864ec287a75338,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,3ecb1fa9eec25d23e26ba589e96d8c7e17183719e988befdac59c63d8117066c,8.326672684688674e-17,9.71445146547012e-17,1.7763568394002505e-15,5.950795411990839e-14
S_03__snr_5__noise_404,S_03,S_03,5,404,2158,0ffeab4cffc5e3381efd4158acdb2de1a4700d74414027dfdfc2989d34176af0,0ffeab4cffc5e3381efd4158acdb2de1a4700d74414027dfdfc2989d34176af0,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,3ecb1fa9eec25d23e26ba589e96d8c7e17183719e988befdac59c63d8117066c,0.0,8.326672684688674e-17,1.7763568394002505e-15,1.1546319456101628e-13
S_04__snr_5__noise_404,S_04,S_04,5,404,2158,1e1f37742247adccfb20236cf6611c03e8d506d201bd120903bad416b2adca70,1e1f37742247adccfb20236cf6611c03e8d506d201bd120903bad416b2adca70,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,3ecb1fa9eec25d23e26ba589e96d8c7e17183719e988befdac59c63d8117066c,5.551115123125783e-17,9.71445146547012e-17,1.7763568394002505e-15,1.0125233984581428e-13
E__snr_5__noise_505,E,,5,505,2158,55993a149666eee52bca0be88f2fce8d7c3203c66b73c39bf19371aee26ad4a6,55993a149666eee52bca0be88f2fce8d7c3203c66b73c39bf19371aee26ad4a6,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,9e79af8cba0049d73d4f0c1085a5bebc0bf7e147a2da8180a78db483305ff608,3.944304526105059e-31,4.235164736271502e-22,2.6645352591003757e-15,4.707345624410664e-14
I__snr_5__noise_505,I,,5,505,2158,2e1ebb8fee3c5cfc3af7c2a5eede4bb35c6eed8e806f604d6181ebc212b9c620,2e1ebb8fee3c5cfc3af7c2a5eede4bb35c6eed8e806f604d6181ebc212b9c620,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,89dd82d390a27962d3a33da1395e0dd9f6a5907f854c71ebd0f40cfc375c9a99,5.551115123125783e-17,9.71445146547012e-17,2.6645352591003757e-15,8.704148513061227e-14
S_00__snr_5__noise_505,S_00,S_00,5,505,2158,303de8547e643e7b4aedd29e9198bfcef464370d9f3ec4890f797f4dfc6c629e,303de8547e643e7b4aedd29e9198bfcef464370d9f3ec4890f797f4dfc6c629e,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,9e79af8cba0049d73d4f0c1085a5bebc0bf7e147a2da8180a78db483305ff608,5.551115123125783e-17,9.71445146547012e-17,2.6645352591003757e-15,1.0391687510491465e-13
S_01__snr_5__noise_505,S_01,S_01,5,505,2158,d51966812cfc3558a6b4d64d10ddd6926599f88406de66a8154101a8aa4a61cf,d51966812cfc3558a6b4d64d10ddd6926599f88406de66a8154101a8aa4a61cf,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,9e79af8cba0049d73d4f0c1085a5bebc0bf7e147a2da8180a78db483305ff608,5.551115123125783e-17,9.71445146547012e-17,1.7763568394002505e-15,8.260059303211165e-14
S_02__snr_5__noise_505,S_02,S_02,5,505,2158,66b905ae9e4c2de3541fb71fb51dee965cc64dd0b03ce6fc99d582b391d5bbc8,66b905ae9e4c2de3541fb71fb51dee965cc64dd0b03ce6fc99d582b391d5bbc8,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,9e79af8cba0049d73d4f0c1085a5bebc0bf7e147a2da8180a78db483305ff608,8.326672684688674e-17,9.71445146547012e-17,1.7763568394002505e-15,5.5067062021407764e-14
S_03__snr_5__noise_505,S_03,S_03,5,505,2158,367973609e9953e198b36eed8e924920f639bfdeb1d99e827bde0ad4cc0e67d3,367973609e9953e198b36eed8e924920f639bfdeb1d99e827bde0ad4cc0e67d3,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,9e79af8cba0049d73d4f0c1085a5bebc0bf7e147a2da8180a78db483305ff608,0.0,8.326672684688674e-17,1.7763568394002505e-15,1.1368683772161603e-13
S_04__snr_5__noise_505,S_04,S_04,5,505,2158,3f5c662a59745cfe875f34da30b01bc2e981b5f835c897eff69d8e7835319eae,3f5c662a59745cfe875f34da30b01bc2e981b5f835c897eff69d8e7835319eae,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,9e79af8cba0049d73d4f0c1085a5bebc0bf7e147a2da8180a78db483305ff608,5.551115123125783e-17,9.71445146547012e-17,1.7763568394002505e-15,1.0480505352461478e-13
E__snr_10__noise_8128,E,,10,8128,2158,f3748f9ddb4fcc1a68c5173fc418ec9284195cab1bb36f491b124eebf0a7d449,f3748f9ddb4fcc1a68c5173fc418ec9284195cab1bb36f491b124eebf0a7d449,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,7512f1c76051bbc5596482db08c92d2369bef0e8bed037adbbcad96081dca963,7.888609052210118e-31,4.235164736271502e-22,5.329070518200751e-15,1.1013412404281553e-13
I__snr_10__noise_8128,I,,10,8128,2158,52a737fdeb584852a0d45c42729c1a3c8a4457e5b51ab403ca1fd00fd4b40bb9,52a737fdeb584852a0d45c42729c1a3c8a4457e5b51ab403ca1fd00fd4b40bb9,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,47d294bffcaf6d165841d52ee0d7de1a8f366d5dc3d5ac88dd9cce04bd065b46,5.551115123125783e-17,9.71445146547012e-17,5.329070518200751e-15,1.2967404927621828e-13
S_00__snr_10__noise_8128,S_00,S_00,10,8128,2158,0514b15f68c6d2343a1108522528aa747a7fe7b86ff953eb2caf2a94e7db56e1,0514b15f68c6d2343a1108522528aa747a7fe7b86ff953eb2caf2a94e7db56e1,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,7512f1c76051bbc5596482db08c92d2369bef0e8bed037adbbcad96081dca963,5.551115123125783e-17,9.71445146547012e-17,5.329070518200751e-15,1.3145040611561853e-13
S_01__snr_10__noise_8128,S_01,S_01,10,8128,2158,402be9df9cfd80331295032ec9882faa5a4d9c573d9dc0d626c6635b03e3aa77,402be9df9cfd80331295032ec9882faa5a4d9c573d9dc0d626c6635b03e3aa77,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,7512f1c76051bbc5596482db08c92d2369bef0e8bed037adbbcad96081dca963,5.551115123125783e-17,9.71445146547012e-17,5.329070518200751e-15,9.414691248821327e-14
S_02__snr_10__noise_8128,S_02,S_02,10,8128,2158,077d82d74a2250790753afbb110d0d88cd42dfb2963cd8740a8e833ba9a83058,077d82d74a2250790753afbb110d0d88cd42dfb2963cd8740a8e833ba9a83058,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,7512f1c76051bbc5596482db08c92d2369bef0e8bed037adbbcad96081dca963,8.326672684688674e-17,9.71445146547012e-17,5.329070518200751e-15,9.947598300641403e-14
S_03__snr_10__noise_8128,S_03,S_03,10,8128,2158,e69517ade13d7fb272d272bb3f2f1940f719cc0afd8baf7df72424f4162a49c6,e69517ade13d7fb272d272bb3f2f1940f719cc0afd8baf7df72424f4162a49c6,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,7512f1c76051bbc5596482db08c92d2369bef0e8bed037adbbcad96081dca963,0.0,9.71445146547012e-17,5.329070518200751e-15,1.758593271006248e-13
S_04__snr_10__noise_8128,S_04,S_04,10,8128,2158,84f049765639f413aa23e8ed6601f85f225c07f4215c98bb43e573a69770acc9,84f049765639f413aa23e8ed6601f85f225c07f4215c98bb43e573a69770acc9,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,7512f1c76051bbc5596482db08c92d2369bef0e8bed037adbbcad96081dca963,5.551115123125783e-17,9.71445146547012e-17,5.329070518200751e-15,1.438849039914203e-13
E__snr_10__noise_101,E,,10,101,2158,e1c5a093c971f8dd322ef87c4a61793f2d978a2d00dc936ce1086c33dc58d528,e1c5a093c971f8dd322ef87c4a61793f2d978a2d00dc936ce1086c33dc58d528,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,d7065fd6d9b574ff1fec470e4734308578ce987948669f991f871ee621951480,7.888609052210118e-31,8.470329472543003e-22,3.552713678800501e-15,1.1191048088221578e-13
I__snr_10__noise_101,I,,10,101,2158,2e11974ad9bf84a2a653ea36780b96e915ea2f3150c9ce8d696e750a95c83949,2e11974ad9bf84a2a653ea36780b96e915ea2f3150c9ce8d696e750a95c83949,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,eb3c3b3ee1ef1b035a150ab29ded1ec2521673be2722203613588abe6cd4787c,5.551115123125783e-17,9.71445146547012e-17,5.329070518200751e-15,1.2256862191861728e-13
S_00__snr_10__noise_101,S_00,S_00,10,101,2158,1e0ab9e2e03660c142635dabcd943b8accb16370cd1304748436cd25b62a2d97,1e0ab9e2e03660c142635dabcd943b8accb16370cd1304748436cd25b62a2d97,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,d7065fd6d9b574ff1fec470e4734308578ce987948669f991f871ee621951480,5.551115123125783e-17,9.71445146547012e-17,5.329070518200751e-15,1.438849039914203e-13
S_01__snr_10__noise_101,S_01,S_01,10,101,2158,4926751af214d4c594111dbc9b3ca31106410c9e87a8860c952ce89c1284c727,4926751af214d4c594111dbc9b3ca31106410c9e87a8860c952ce89c1284c727,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,d7065fd6d9b574ff1fec470e4734308578ce987948669f991f871ee621951480,5.551115123125783e-17,9.71445146547012e-17,5.329070518200751e-15,1.0658141036401503e-13
S_02__snr_10__noise_101,S_02,S_02,10,101,2158,36c34a1ba1934e75fa8357ec990de058c96a068537c7fa2f85da633d5a30bb2d,36c34a1ba1934e75fa8357ec990de058c96a068537c7fa2f85da633d5a30bb2d,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,d7065fd6d9b574ff1fec470e4734308578ce987948669f991f871ee621951480,8.326672684688674e-17,9.71445146547012e-17,5.329070518200751e-15,9.769962616701378e-14
S_03__snr_10__noise_101,S_03,S_03,10,101,2158,35d2be8a01ff9d622d919566365374ba68064d8aa01ebf8310e086b44bbabca3,35d2be8a01ff9d622d919566365374ba68064d8aa01ebf8310e086b44bbabca3,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,d7065fd6d9b574ff1fec470e4734308578ce987948669f991f871ee621951480,0.0,9.71445146547012e-17,5.329070518200751e-15,1.8118839761882555e-13
S_04__snr_10__noise_101,S_04,S_04,10,101,2158,7a4fd6223c18b9f6352ebfb5bd7221ae802df6eb76be7fa0654e213a74875225,7a4fd6223c18b9f6352ebfb5bd7221ae802df6eb76be7fa0654e213a74875225,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,d7065fd6d9b574ff1fec470e4734308578ce987948669f991f871ee621951480,5.551115123125783e-17,9.71445146547012e-17,5.329070518200751e-15,1.5631940186722204e-13
E__snr_10__noise_202,E,,10,202,2158,3d70887ac00be71d38641e553b5714375d65d43e8ab541234506fbea4dc34e40,3d70887ac00be71d38641e553b5714375d65d43e8ab541234506fbea4dc34e40,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,c0e0a644d5ed6e0ac3f36e139ed21dadf40ce52f326bf6cab35e525ebe8f405e,7.888609052210118e-31,4.235164736271502e-22,5.329070518200751e-15,1.1368683772161603e-13
I__snr_10__noise_202,I,,10,202,2158,fa03e8ff81a47d8c5aba08b3ed4465ae3a01e93831fe18abff00db5f891a5c45,fa03e8ff81a47d8c5aba08b3ed4465ae3a01e93831fe18abff00db5f891a5c45,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,7189a8040f2fd3304c697405a4a4a92884c3f4242e1c818593ac2f2362847bd8,5.551115123125783e-17,9.71445146547012e-17,5.329070518200751e-15,1.2079226507921703e-13
S_00__snr_10__noise_202,S_00,S_00,10,202,2158,1c508f1f829a555e7dad3ef6924e632d193e7edd2c7b2b0ef24af52bf0a623d7,1c508f1f829a555e7dad3ef6924e632d193e7edd2c7b2b0ef24af52bf0a623d7,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,c0e0a644d5ed6e0ac3f36e139ed21dadf40ce52f326bf6cab35e525ebe8f405e,5.551115123125783e-17,9.71445146547012e-17,5.329070518200751e-15,1.4210854715202004e-13
S_01__snr_10__noise_202,S_01,S_01,10,202,2158,9b191fd1cbe456a82e5ec5a8d2bd63ec53f53b01808440e198afe027638c2276,9b191fd1cbe456a82e5ec5a8d2bd63ec53f53b01808440e198afe027638c2276,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,c0e0a644d5ed6e0ac3f36e139ed21dadf40ce52f326bf6cab35e525ebe8f405e,5.551115123125783e-17,9.71445146547012e-17,5.329070518200751e-15,1.0125233984581428e-13
S_02__snr_10__noise_202,S_02,S_02,10,202,2158,b26ee9f20081294900731a98eca14a4ec79545ff231170e7acdc02e288f267ff,b26ee9f20081294900731a98eca14a4ec79545ff231170e7acdc02e288f267ff,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,c0e0a644d5ed6e0ac3f36e139ed21dadf40ce52f326bf6cab35e525ebe8f405e,8.326672684688674e-17,9.71445146547012e-17,5.329070518200751e-15,1.0302869668521453e-13
S_03__snr_10__noise_202,S_03,S_03,10,202,2158,2bb8df4ad6faf8da9eb1538fd8277c4fcac85dfc10dbb6f03b4f384f5410cc8f,2bb8df4ad6faf8da9eb1538fd8277c4fcac85dfc10dbb6f03b4f384f5410cc8f,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,c0e0a644d5ed6e0ac3f36e139ed21dadf40ce52f326bf6cab35e525ebe8f405e,0.0,9.71445146547012e-17,5.329070518200751e-15,1.8474111129762605e-13
S_04__snr_10__noise_202,S_04,S_04,10,202,2158,010e1b648155915b9c961876d96944383b684b0f66188e379c00c86749c5db4b,010e1b648155915b9c961876d96944383b684b0f66188e379c00c86749c5db4b,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,c0e0a644d5ed6e0ac3f36e139ed21dadf40ce52f326bf6cab35e525ebe8f405e,5.551115123125783e-17,9.71445146547012e-17,5.329070518200751e-15,1.5987211554602254e-13
E__snr_10__noise_303,E,,10,303,2158,d27221228a6175077197c5969fe2e636abdf77f352110f583ed6244c3f94b2e2,d27221228a6175077197c5969fe2e636abdf77f352110f583ed6244c3f94b2e2,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,b9f652b0118957b55f6801102beef515f20bdd36044b5608f8353483a8858c02,7.888609052210118e-31,8.470329472543003e-22,5.329070518200751e-15,1.2079226507921703e-13
I__snr_10__noise_303,I,,10,303,2158,4cca537f5eea5b5d6ca82ef45d0358b7471452611b18e7bbe977f9002fd8514c,4cca537f5eea5b5d6ca82ef45d0358b7471452611b18e7bbe977f9002fd8514c,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,e13c17f81e300bd44ea3c63a5dea9cc0f85a750d1d62f947459756db48ed5527,5.551115123125783e-17,9.71445146547012e-17,5.329070518200751e-15,1.1546319456101628e-13
S_00__snr_10__noise_303,S_00,S_00,10,303,2158,32d2cb77e337cc06372802b06e82502191740ff0fe52846ac83b76663f759d6f,32d2cb77e337cc06372802b06e82502191740ff0fe52846ac83b76663f759d6f,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,b9f652b0118957b55f6801102beef515f20bdd36044b5608f8353483a8858c02,5.551115123125783e-17,9.71445146547012e-17,5.329070518200751e-15,1.4033219031261979e-13
S_01__snr_10__noise_303,S_01,S_01,10,303,2158,edaadb28b498808962a53be9623f8e5c2795aea0e86472072f57cd892a52d7d7,edaadb28b498808962a53be9623f8e5c2795aea0e86472072f57cd892a52d7d7,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,b9f652b0118957b55f6801102beef515f20bdd36044b5608f8353483a8858c02,5.551115123125783e-17,9.71445146547012e-17,5.329070518200751e-15,1.1191048088221578e-13
S_02__snr_10__noise_303,S_02,S_02,10,303,2158,69d8ae0b5c6616b73e46010978a46507e46453b77bfc0a3175a19b9d697a4718,69d8ae0b5c6616b73e46010978a46507e46453b77bfc0a3175a19b9d697a4718,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,b9f652b0118957b55f6801102beef515f20bdd36044b5608f8353483a8858c02,8.326672684688674e-17,9.71445146547012e-17,5.329070518200751e-15,1.0480505352461478e-13
S_03__snr_10__noise_303,S_03,S_03,10,303,2158,6af5d78fc93e5d2a2027d2bc9b9f346367535bc3cc9bbf4a580876114d64c282,6af5d78fc93e5d2a2027d2bc9b9f346367535bc3cc9bbf4a580876114d64c282,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,b9f652b0118957b55f6801102beef515f20bdd36044b5608f8353483a8858c02,0.0,9.71445146547012e-17,5.329070518200751e-15,1.758593271006248e-13
